id,host_id,latitude,longitude,neighbourhood_cleansed,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,host_is_superhost,license,calculated_host_listings_count,reviews_per_month,price_w,log_price,log_price_w
26654,113345,43.64608,-79.39032,Waterfront Communities-The Island,133.0,Entire home/apt,Entire condo,4,2.0,2.0,1 bath,28,140,45,4.8,f,t,Unknown,3,0.25,133.0,4.890349128221754,4.890349128221754
27423,118124,43.66884,-79.32725,South Riverdale,75.0,Entire home/apt,Entire rental unit,1,0.0,1.0,1 bath,365,11,31,4.93,f,f,Unknown,1,0.16,75.0,4.31748811353631,4.31748811353631
40701,175687,43.67239,-79.28858,The Beaches,85.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,90,293,12,4.67,f,f,Unknown,1,0.08,85.0,4.442651256490317,4.442651256490317
44452,195095,43.67193,-79.3859,Rosedale-Moore Park,97.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,365,68,4.19,f,f,Unknown,13,0.37,97.0,4.574710978503383,4.574710978503383
44469,195095,43.67129,-79.38634,Rosedale-Moore Park,88.0,Private room,Private room in rental unit,2,1.0,1.0,1 bath,30,365,8,4.0,f,f,Unknown,13,0.05,88.0,4.477336814478207,4.477336814478207
45399,195095,43.66123,-79.38336,Bay Street Corridor,120.0,Entire home/apt,Entire condo,3,0.0,1.0,1 bath,28,345,89,4.17,f,f,Unknown,13,0.49,120.0,4.787491742782046,4.787491742782046
45893,195095,43.6718,-79.38488,Rosedale-Moore Park,70.0,Private room,Private room in rental unit,1,1.0,1.0,1 private bath,28,365,24,4.4,f,f,Unknown,13,0.13,70.0,4.248495242049359,4.248495242049359
50110,195095,43.66899,-79.38559,Church-Yonge Corridor,160.0,Entire home/apt,Entire condo,3,1.0,1.0,1 bath,28,365,61,4.63,f,f,Unknown,13,0.33,160.0,5.075173815233827,5.075173815233827
64641,304551,43.64453,-79.40736,Niagara,64.0,Private room,Private room in home,1,1.0,1.0,Half-bath,118,324,27,4.81,f,Unknown,Unknown,5,0.15,64.0,4.1588830833596715,4.1588830833596715
64645,304551,43.64475,-79.40905,Niagara,79.0,Private room,Private room in home,1,1.0,0.0,1 private bath,118,316,17,4.73,f,Unknown,Unknown,5,0.1,79.0,4.3694478524670215,4.3694478524670215
71118,304551,43.64605,-79.4069,Niagara,80.0,Entire home/apt,Entire home,1,1.0,0.0,1 bath,30,108,13,4.58,f,Unknown,Unknown,5,0.07,80.0,4.382026634673881,4.382026634673881
84151,195095,43.67138,-79.38424,Rosedale-Moore Park,128.0,Entire home/apt,Entire rental unit,3,1.0,1.0,1 bath,30,365,23,4.6,f,f,Unknown,13,0.13,128.0,4.852030263919617,4.852030263919617
96336,511506,43.64388,-79.41011,Niagara,324.0,Entire home/apt,Entire townhouse,5,3.0,3.0,2 baths,3,61,179,4.93,f,t,STR-2009-FXRRPD,1,1.22,324.0,5.780743515792329,5.780743515792329
112842,575127,43.65703,-79.46719,High Park North,66.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,120,282,12,4.92,f,f,Unknown,1,0.07,66.0,4.189654742026425,4.189654742026425
119441,174063,43.63737,-79.44022,South Parkdale,80.0,Entire home/apt,Entire home,2,1.0,1.0,1 bath,60,365,86,4.83,f,t,Unknown,4,0.49,80.0,4.382026634673881,4.382026634673881
131401,604233,43.63649,-79.40171,Niagara,69.0,Entire home/apt,Entire condo,2,1.0,1.0,1 bath,100,8,11,4.55,f,f,Unknown,1,0.09,69.0,4.23410650459726,4.23410650459726
146601,436139,43.64584,-79.39051,Waterfront Communities-The Island,233.0,Entire home/apt,Entire condo,3,1.0,1.0,1 bath,28,365,8,4.71,f,f,STR-2303-FPCPHQ,1,0.05,233.0,5.4510384535657,5.4510384535657
153000,735795,43.64494,-79.39123,Waterfront Communities-The Island,270.0,Entire home/apt,Entire condo,4,2.0,2.0,2 baths,2,246,63,4.6,f,t,STR-2408-JCKSBZ,1,0.36,270.0,5.598421958998375,5.598421958998375
154743,744412,43.67018,-79.38372,Church-Yonge Corridor,100.0,Entire home/apt,Entire condo,2,1.0,2.0,1 bath,30,318,70,4.79,f,t,Unknown,1,0.4,100.0,4.605170185988092,4.605170185988092
184784,656777,43.67005,-79.38372,Church-Yonge Corridor,152.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1 bath,150,313,64,4.93,f,t,Unknown,1,0.37,152.0,5.0238805208462765,5.0238805208462765
186342,895337,43.77554,-79.38989,Bayview Village,227.0,Entire home/apt,Entire townhouse,6,3.0,3.0,4 baths,30,173,0,4.89,f,t,Unknown,1,0.87,227.0,5.424950017481403,5.424950017481403
192860,533496,43.66492,-79.47384,Junction Area,132.0,Entire home/apt,Entire guest suite,3,2.0,2.0,1 bath,31,131,129,4.93,f,t,STR-2010-FPPDPC,2,0.75,132.0,4.882801922586371,4.882801922586371
196584,957466,43.69431,-79.28563,Oakridge,120.0,Entire home/apt,Entire guest suite,2,1.0,1.0,1 bath,18,342,69,4.9,f,f,STR-2012-HLWPHK,1,0.61,120.0,4.787491742782046,4.787491742782046
224775,1170217,43.6619,-79.37727,Church-Yonge Corridor,80.0,Private room,Private room in home,2,1.0,1.0,1 private bath,28,339,41,4.83,f,t,Unknown,2,0.32,80.0,4.382026634673881,4.382026634673881
232794,1218097,43.6715929,-79.3908687,Annex,230.0,Entire home/apt,Entire condo,3,1.0,2.0,1 bath,28,236,8,4.88,f,t,Unknown,1,0.05,230.0,5.438079308923196,5.438079308923196
239449,349772,43.66701,-79.40625,Annex,57.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,225,42,4.74,f,t,Unknown,1,0.28,57.0,4.04305126783455,4.04305126783455
