seed,communities,modularity,largest_community,median_community_size,nmi_vs_neighbourhood,ami_vs_neighbourhood,nmi_vs_canonical_seed,ami_vs_canonical_seed
42,16,0.7925151698059756,6433,663.5,0.4948182084242324,0.48353496524192446,1.0,1.0
43,17,0.7920782650931932,6350,632.0,0.49974787161663903,0.48795667621882055,0.9209560146136354,0.9206650257648205
44,18,0.7926498614566608,6088,547.5,0.5214977377920249,0.5096342418412491,0.8360477525691086,0.8354193454975208
45,17,0.7930201792513507,6670,411.0,0.5021118469928426,0.4901031048355322,0.8698810599295034,0.8694021917410235
46,17,0.7925548809956261,6592,704.0,0.5126401995012719,0.501116052560895,0.8650666726293028,0.8645725692415432
47,18,0.7930160145244365,6429,487.0,0.5073214628652001,0.49510158220444755,0.8841551090238847,0.8837045506685107
48,17,0.792981372425113,6210,733.0,0.5319114278408282,0.5207928260487473,0.8423031114363918,0.841738857541659
49,18,0.7928160842937776,6164,505.0,0.515516474238364,0.503460384716219,0.9040382333146413,0.9036692898827771
50,17,0.792943153352852,6389,571.0,0.5122042665479927,0.5004722023585522,0.8931172932660947,0.8927297277449298
51,17,0.792714150053619,6584,719.0,0.5126853563213949,0.5011723653867484,0.8796738868644328,0.8792353949513425
