validation_scheme,fold,model,test_r2,test_adjusted_r2_nominal,mae_log_price,rmse_log_price,mae_dollars_approx,rmse_dollars_approx,train_rows,test_rows,train_hosts,test_hosts,host_overlap_count,encoded_features,test_spatial_block
random_5fold,1,Baseline: listing + official neighbourhood,0.6397637750053664,0.6142592455257327,0.3203537151329458,0.420004905113273,54.58950154032359,101.3569682131897,12647,3162,8646,2663,983,209,
random_5fold,1,Expanded: baseline + network community,0.640168312451149,0.6125926551968944,0.3198704389869023,0.4197690106817766,54.5245554311481,101.01183440922243,12647,3162,8646,2663,983,225,
random_5fold,2,Baseline: listing + official neighbourhood,0.6245736682195042,0.5979936874125518,0.32577097327879695,0.42960768247658293,56.89651613333546,107.49255819825474,12647,3162,8599,2680,953,209,
random_5fold,2,Expanded: baseline + network community,0.627627114619471,0.5990903642071348,0.3245181176984759,0.42785705645723926,56.69856938185685,107.28013376541314,12647,3162,8599,2680,953,225,
random_5fold,3,Baseline: listing + official neighbourhood,0.6199670008063014,0.5927849795080402,0.32325780978261404,0.4257766388936632,56.18399658953494,104.05431936471344,12647,3162,8647,2640,961,211,
random_5fold,3,Expanded: baseline + network community,0.6214480693492633,0.592159968375263,0.32252292223355644,0.4249461583996454,56.06270153558439,103.91922126510735,12647,3162,8647,2640,961,227,
random_5fold,4,Baseline: listing + official neighbourhood,0.6551641637460461,0.6304996344411022,0.3184326270555943,0.4126959888119873,55.020317917771536,100.20205748500734,12647,3162,8668,2672,1014,211,
random_5fold,4,Expanded: baseline + network community,0.655294606123696,0.6286251704011598,0.31770111721544336,0.41261792537971254,54.80006481589505,100.15286961763655,12647,3162,8668,2672,1014,227,
random_5fold,5,Baseline: listing + official neighbourhood,0.631950438060758,0.6057502997532187,0.32315761693091005,0.4243780646384515,56.27712174089733,105.80236712598311,12648,3161,8638,2650,962,210,
random_5fold,5,Expanded: baseline + network community,0.6341645612404181,0.605985008016265,0.3221699076134044,0.42309964614521134,55.97990079795803,105.09027479438768,12648,3161,8638,2650,962,226,
host_grouped_5fold,1,Baseline: listing + official neighbourhood,0.6239451550000918,0.5993111825586421,0.32819874558928797,0.42657167795597517,53.800786430722255,98.79384054242662,12441,3368,8260,2066,0,207,
host_grouped_5fold,1,Expanded: baseline + network community,0.6253990210466858,0.598829040669272,0.32739496464901574,0.4257462948149625,53.62015181982424,98.7057755559009,12441,3368,8260,2066,0,223,
host_grouped_5fold,2,Baseline: listing + official neighbourhood,0.6016682183510329,0.5718004124064942,0.33261931367762015,0.4335263175842486,58.8531792551016,106.97290715421808,12783,3026,8261,2065,0,211,
host_grouped_5fold,2,Expanded: baseline + network community,0.6016096677981533,0.5692885078947154,0.332406738887898,0.4335581783019401,58.67425833804456,106.57353957726387,12783,3026,8261,2065,0,227,
