id,graph_c_louvain_community
26654,3
27423,11
40701,11
44452,9
44469,9
45399,15
45893,9
50110,9
64641,1
64645,1
71118,1
84151,9
96336,1
112842,0
119441,0
131401,6
146601,3
153000,3
154743,9
184784,9
186342,11
192860,0
196584,11
224775,15
232794,9
239449,10
288341,15
307726,5
363057,11
366973,7
393873,1
394627,1
403200,9
418607,11
429943,11
462366,11
466650,1
473827,11
495303,0
516823,0
526594,14
526705,0
529227,0
529256,1
571429,11
573892,5
638586,3
654048,11
666670,11
670171,0
702286,0
703124,0
703133,0
728817,0
738252,0
756619,15
762143,7
771141,12
774352,9
788710,0
790887,15
794506,7
817749,1
818228,0
820177,0
855991,12
883109,11
892352,1
921532,11
923427,1
950053,12
954935,11
955073,12
955446,3
959676,15
985003,11
990322,11
995337,1
1001438,1
1009656,0
1022764,11
1030061,3
1033151,11
1033162,5
1035588,12
1036076,14
1053838,1
1057144,0
1066718,1
1080121,5
1092407,11
1110760,11
1145641,1
1150719,11
1153863,4
1161630,0
1161888,0
1162480,12
1170889,0
1173944,0
1174893,11
1194984,0
1196880,2
1202446,3
1214297,0
1221275,5
1221280,3
1223097,10
1242683,0
1269925,11
1270535,11
1301718,11
1321398,11
1326015,0
1335133,11
1348067,11
1365638,4
1369701,0
1370412,0
1455503,7
1456369,11
1462084,12
1477940,0
1486931,0
1510402,0
1546244,1
1550684,0
1550882,14
1552251,0
1560504,1
1560977,6
1564089,0
1570103,0
1578070,3
1604069,11
1610027,11
1631083,11
1631386,0
1638995,1
1646214,1
1650864,9
1651958,15
1652086,11
1652220,11
1668445,11
1668582,11
1673003,11
1718208,12
1722517,12
1727775,6
1759486,11
1779167,5
1785285,10
1820689,9
1844121,15
1856109,14
1876510,11
1886850,0
1912746,10
1920804,11
1937092,1
1945120,0
1986934,7
2045208,3
2061445,11
2082829,3
2124858,11
2126181,11
2140635,15
2171366,0
2226745,11
2247703,0
2267889,11
2274060,11
2296506,5
2316147,9
2319682,0
2320893,9
2325040,11
2329180,15
2336683,11
2356555,14
2434313,0
2435178,11
2436090,11
2474185,15
2483875,1
2494635,11
2516271,15
2531934,6
2536696,11
2571251,11
2618025,15
2666562,11
2684516,15
2692019,11
2721128,11
2739614,15
2774695,0
2785516,11
2817835,1
2888365,1
2906218,1
2918244,11
2930411,11
2969361,12
2988248,1
2988568,1
2993831,1
2997407,1
3001121,1
3001761,1
3012895,0
3162666,1
3229123,5
3229169,11
3257244,3
3258149,0
3264728,15
3270314,0
3271579,0
3312043,11
3339294,0
3348401,0
3364609,6
3400979,0
3402217,15
3405698,0
3433957,9
3479225,5
3494354,9
3653931,1
3663617,0
3688648,1
3703115,3
3717620,5
3767719,4
3773198,0
3802093,1
3832790,11
3833838,11
3849815,15
3861314,0
3869807,0
3869911,11
3870028,11
3880929,11
3923307,11
3924298,1
3924719,1
3932510,11
3932792,15
3932950,11
3940044,0
3950705,1
3954077,11
3979252,9
3984769,11
3992907,11
4003578,11
4017360,0
4020596,0
4022320,0
4058460,0
4060423,1
4069551,11
4070051,15
4090549,0
4145383,0
4179790,5
4183535,7
4187372,11
4205747,14
4215778,0
4223559,3
4257135,1
4297755,11
4311914,11
4320380,12
4351332,0
4379003,3
4432286,11
4455897,4
4475813,0
4484889,12
4492200,11
4497919,0
4516591,11
4529616,2
4530973,11
4535652,3
4565516,3
4571957,10
4575879,7
4581378,0
4603634,11
4663579,5
4671883,14
4673452,0
4688281,11
4710136,0
4762850,3
4775138,1
4785648,5
4808701,3
4815187,11
4821682,3
4821997,3
4824175,11
4846295,12
4846849,12
4860596,0
4867420,9
4882159,0
4882336,3
4890367,0
4920566,11
4925824,1
4929467,0
4930281,14
4975152,11
4977164,11
4983319,11
4997904,7
5003079,0
5004095,0
5021916,12
5025880,11
5050864,1
5074952,11
5095202,3
5133003,11
5158581,11
5261334,0
5271542,11
5277539,1
5281143,7
5286926,10
5295570,11
5310461,3
5386570,11
5406504,11
5432639,11
5457912,0
5489928,14
5498767,11
5509560,1
5521420,11
5550758,11
5559784,15
5562649,3
5593310,11
5598800,3
5653187,11
5669029,11
5669069,11
5671613,12
5681246,12
5683127,1
5695072,0
5695073,0
5708517,11
5714619,0
5746685,0
5748902,11
5755271,11
5758430,3
5773475,15
5785794,1
5785888,0
5833228,3
5846208,0
5855569,4
5862723,12
5869076,11
5879297,0
5904291,5
5915611,15
5922059,13
5923285,13
5939911,11
5942478,12
5942736,11
5944987,11
5999578,12
6014387,0
6017439,13
6032221,14
6047019,15
6054403,0
6056440,15
6085693,11
6090639,0
6092042,3
6140766,0
6149212,0
